"is_Other_Upper_Limb_Issues","is_Knee_Issues","is_Other_Issues","is_Leg_Issues","is_Foot_Issues","is_Other_Lower_Limb_Issues","is_Ankle_Issues","is_Back_Issues","age_at_injury","height_cm","weight_kg","career_before","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
0,0,1,0,0,0,0,0,26,185.42,86.18,2,74,75,338,814,0.415,211,267,0.79,214,482,139,977,0,2158,32,48,166,113,12,194,90,240,0.375,248,574,0.432,0.471,89,4.5,10.9,0.415,2.8,3.6,0.79,2.9,6.4,1.9,13,28.8,32,0.6,2.2,1.5,0.2,2.6,1.2,3.2,0.375,3.3,7.7,0.432,0.471
0,1,0,0,0,0,0,0,30,203.2,95.25,7,346,24,18,42,0.429,21,28,0.75,47,7,42,57,0,266,0,19,28,5,5,15,0,0,0.556,18,42,0.429,0.429,353,0.8,1.8,0.429,0.9,1.2,0.75,2,0.3,1.8,2.4,11.1,0,0.8,1.2,0.2,0.2,0.6,0,0,0.5,0.8,1.8,0.429,0.429
0,0,0,0,0,0,1,0,31,213.36,111.13,8,216,73,156,317,0.492,51,63,0.81,190,40,198,363,0,956,1,64,126,22,17,39,0,4,0,156,313,0.498,0.492,256,2.1,4.3,0.492,0.7,0.9,0.81,2.6,0.5,2.7,5,13.1,1,0.9,1.7,0.3,0.2,0.5,0,0.1,0,2.1,4.3,0.498,0.492
0,1,0,0,0,0,0,0,26,198.12,99.79,3,274,57,90,183,0.492,22,39,0.564,98,50,64,217,0,605,0,36,62,24,12,30,15,48,0.313,75,135,0.556,0.533,304,1.6,3.2,0.492,0.4,0.7,0.564,1.7,0.9,1.1,3.8,10.6,0,0.6,1.1,0.4,0.2,0.5,0.3,0.8,0.313,1.3,2.4,0.556,0.533
0,0,0,0,0,0,0,1,27,190.5,86.18,3,379,3,3,8,0.375,8,9,0.889,0,0,2,14,0,18,0,0,0,0,0,1,0,1,0,3,7,0.429,0.375,270,1,2.7,0.375,2.7,3,0.889,0,0,0.7,4.7,6,0,0,0,0,0,0.3,0,0.3,0,1,2.3,0.429,0.375
0,0,0,0,1,0,0,0,25,213.36,113.4,0,402,1,1,5,0.2,0,0,1,2,1,2,2,0,14,0,2,0,0,1,0,0,0,0.2,1,5,0.2,0.2,367,1,5,0.2,0,0,1,2,1,2,2,14,0,2,0,0,1,0,0,0,0,1,5,0.2,0.2
0,1,0,0,0,0,0,0,29,190.5,83.91,5,279,33,78,166,0.47,45,55,0.818,35,93,66,205,0,470,2,8,27,29,3,44,4,16,0.25,74,150,0.493,0.482,220,2.4,5,0.47,1.4,1.7,0.818,1.1,2.8,2,6.2,14.2,2,0.2,0.8,0.9,0.1,1.3,0.1,0.5,0.25,2.2,4.5,0.493,0.482
0,1,0,0,0,0,0,0,33,198.12,81.65,10,185,49,191,422,0.453,44,71,0.62,147,113,86,477,0,1166,0,55,92,46,6,73,51,134,0.381,140,288,0.486,0.513,146,3.9,8.6,0.453,0.9,1.4,0.62,3,2.3,1.8,9.7,23.8,0,1.1,1.9,0.9,0.1,1.5,1,2.7,0.381,2.9,5.9,0.486,0.513
0,1,0,0,0,0,0,0,32,190.5,83.91,9,371,12,4,25,0.16,0,0,0.75,10,9,25,10,0,149,0,2,8,7,0,12,2,3,0.667,2,22,0.091,0.2,391,0.3,2.1,0.16,0,0,0.75,0.8,0.8,2.1,0.8,12.4,0,0.2,0.7,0.6,0,1,0.2,0.3,0.667,0.2,1.8,0.091,0.2
0,1,0,0,0,0,0,0,30,195.58,90.72,2,358,22,9,25,0.36,18,21,0.857,5,5,18,43,0,75,0,0,5,6,3,5,7,18,0.389,2,7,0.286,0.5,366,0.4,1.1,0.36,0.8,1,0.857,0.2,0.2,0.8,2,3.4,0,0,0.2,0.3,0.1,0.2,0.3,0.8,0.389,0.1,0.3,0.286,0.5
0,1,0,0,0,0,0,0,25,200.66,95.25,3,61,75,436,996,0.438,251,323,0.777,562,305,189,1129,1,2702,74,168,394,104,50,183,6,17,0.353,430,979,0.439,0.441,59,5.8,13.3,0.438,3.3,4.3,0.777,7.5,4.1,2.5,15.1,36,74,2.2,5.3,1.4,0.7,2.4,0.1,0.2,0.353,5.7,13.1,0.439,0.441
0,1,0,0,0,0,0,0,26,203.2,97.52,3,273,58,88,193,0.456,44,67,0.657,262,80,159,221,0,1126,23,113,149,48,23,79,1,5,0.2,87,188,0.463,0.459,303,1.5,3.3,0.456,0.8,1.2,0.657,4.5,1.4,2.7,3.8,19.4,23,1.9,2.6,0.8,0.4,1.4,0,0.1,0.2,1.5,3.2,0.463,0.459
0,0,0,0,0,0,1,0,24,198.12,90.72,1,377,12,5,22,0.227,4,5,0.8,13,8,18,15,0,79,0,3,10,2,1,13,1,7,0.143,4,15,0.267,0.25,386,0.4,1.8,0.227,0.3,0.4,0.8,1.1,0.7,1.5,1.3,6.6,0,0.3,0.8,0.2,0.1,1.1,0.1,0.6,0.143,0.3,1.3,0.267,0.25
0,0,0,0,0,0,0,1,26,203.2,103.87,3,117,62,283,645,0.439,86,114,0.754,146,131,119,802,0,1499,10,25,121,45,14,57,150,352,0.426,133,293,0.454,0.555,92,4.6,10.4,0.439,1.4,1.8,0.754,2.4,2.1,1.9,12.9,24.2,10,0.4,2,0.7,0.2,0.9,2.4,5.7,0.426,2.1,4.7,0.454,0.555
0,0,0,0,0,0,0,1,25,213.36,118.84,0,395,1,1,3,0.333,2,2,1,2,1,1,4,0,7,0,0,2,0,0,0,0,0,0,1,3,0.333,0.333,296,1,3,0.333,2,2,1,2,1,1,4,7,0,0,2,0,0,0,0,0,0,1,3,0.333,0.333
0,0,0,0,0,0,1,0,23,195.58,79.38,0,398,2,1,5,0.2,0,0,1,1,2,0,3,0,8,0,0,1,1,0,0,1,3,0.333,0,2,0,0.3,381,0.5,2.5,0.2,0,0,1,0.5,1,0,1.5,4,0,0,0.5,0.5,0,0,0.5,1.5,0.333,0,1,0,0.3
0,1,0,0,0,0,0,0,28,203.2,106.59,7,327,34,41,115,0.357,14,25,0.56,62,27,48,100,0,402,0,23,39,10,2,35,4,12,0.333,37,103,0.359,0.374,341,1.2,3.4,0.357,0.4,0.7,0.56,1.8,0.8,1.4,2.9,11.8,0,0.7,1.1,0.3,0.1,1,0.1,0.4,0.333,1.1,3,0.359,0.374
