"is_Other_Upper_Limb_Issues","is_Knee_Issues","is_Other_Issues","is_Leg_Issues","is_Foot_Issues","is_Other_Lower_Limb_Issues","is_Ankle_Issues","is_Back_Issues","age_at_injury","height_cm","weight_kg","career_before","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
0,0,1,0,0,0,0,0,25,205.74,115.67,3,278,65,88,162,0.543,48,79,0.608,281,17,130,224,0,1107,8,93,188,24,61,42,0,0,0.2,88,162,0.543,0.543,335,1.4,2.5,0.543,0.7,1.2,0.608,4.3,0.3,2,3.4,17,8,1.4,2.9,0.4,0.9,0.6,0,0,0.143,1.4,2.5,0.543,0.543
0,0,0,0,0,1,0,0,28,208.28,102.06,6,405,3,10,20,0.5,6,11,0.545,16,1,8,26,0,82,2,5,11,1,8,7,0,0,0,10,20,0.5,0.5,162,3.3,6.7,0.5,2,3.7,0.545,5.3,0.3,2.7,8.7,27.3,2,1.7,3.7,0.3,2.7,2.3,0,0,0,3.3,6.7,0.5,0.5
0,0,0,1,0,0,0,0,35,205.74,92.99,14,326,41,52,122,0.426,10,14,0.714,127,45,90,119,0,784,1,48,79,41,4,22,5,12,0.417,47,110,0.427,0.447,358,1.3,3,0.426,0.2,0.3,0.714,3.1,1.1,2.2,2.9,19.1,1,1.2,1.9,1,0.1,0.5,0.1,0.3,0.417,1.1,2.7,0.427,0.447
0,0,0,0,0,0,1,0,20,205.74,117.93,0,329,41,48,107,0.449,18,27,0.667,69,13,29,114,0,238,0,31,38,7,4,15,0,0,0.5,48,107,0.449,0.449,363,1.2,2.6,0.449,0.4,0.7,0.667,1.7,0.3,0.7,2.8,5.8,0,0.8,0.9,0.2,0.1,0.4,0,0,0.273,1.2,2.6,0.449,0.449
1,0,0,0,0,0,0,0,23,208.28,111.13,0,356,24,25,74,0.338,22,28,0.786,76,7,35,72,0,262,1,38,38,7,28,13,0,4,0,25,70,0.357,0.338,355,1,3.1,0.338,0.9,1.2,0.786,3.2,0.3,1.5,3,10.9,1,1.6,1.6,0.3,1.2,0.5,0,0.2,0,1,2.9,0.357,0.338
0,0,0,0,0,0,1,0,20,193.04,88,0,428,8,1,12,0.083,4,4,1,6,6,1,6,0,39,0,1,5,2,0,3,0,3,0,1,9,0.111,0.083,434,0.1,1.5,0.083,0.5,0.5,1,0.8,0.8,0.1,0.8,4.9,0,0.1,0.6,0.3,0,0.4,0,0.4,0,0.1,1.1,0.111,0.083
1,0,0,0,0,0,0,0,25,205.74,108.86,5,198,69,187,365,0.512,86,129,0.667,481,64,170,460,0,1655,63,129,352,28,88,53,0,0,0,187,365,0.512,0.512,216,2.7,5.3,0.512,1.2,1.9,0.667,7,0.9,2.5,6.7,24,63,1.9,5.1,0.4,1.3,0.8,0,0,0,2.7,5.3,0.512,0.512
0,0,0,0,0,0,1,0,22,195.58,86.18,0,398,8,10,23,0.435,6,9,0.667,7,1,5,30,0,63,0,2,5,0,0,3,4,8,0.5,6,15,0.4,0.522,364,1.3,2.9,0.435,0.8,1.1,0.667,0.9,0.1,0.6,3.8,7.9,0,0.3,0.6,0,0,0.4,0.5,1,0.5,0.8,1.9,0.4,0.522
0,0,0,0,0,0,0,1,27,195.58,98.43,2,208,58,179,359,0.499,41,49,0.837,229,106,142,415,0,1383,34,68,161,75,12,42,16,54,0.296,163,305,0.534,0.521,196,3.1,6.2,0.499,0.7,0.8,0.837,3.9,1.8,2.4,7.2,23.8,34,1.2,2.8,1.3,0.2,0.7,0.3,0.9,0.296,2.8,5.3,0.534,0.521
0,1,0,0,0,0,0,0,29,228.6,106.59,8,281,53,78,163,0.479,59,64,0.922,176,20,128,215,0,757,16,53,123,28,64,25,0,1,0,78,162,0.481,0.479,301,1.5,3.1,0.479,1.1,1.2,0.922,3.3,0.4,2.4,4.1,14.3,16,1,2.3,0.5,1.2,0.5,0,0,0,1.5,3.1,0.481,0.479
0,0,0,0,1,0,0,0,24,210.82,111.13,1,249,59,107,193,0.554,82,109,0.752,250,18,139,296,0,900,34,103,147,11,23,48,0,0,0.5,107,193,0.554,0.554,264,1.8,3.3,0.554,1.4,1.8,0.752,4.2,0.3,2.4,5,15.3,34,1.7,2.5,0.2,0.4,0.8,0,0,0.5,1.8,3.3,0.554,0.554
1,0,0,0,0,0,0,0,22,198.12,98.88,2,128,63,235,530,0.443,201,251,0.801,231,112,155,717,0,1615,52,54,177,41,19,116,46,139,0.331,189,391,0.483,0.487,105,3.7,8.4,0.443,3.2,4,0.801,3.7,1.8,2.5,11.4,25.6,52,0.9,2.8,0.7,0.3,1.8,0.7,2.2,0.331,3,6.2,0.483,0.487
0,0,0,0,1,0,0,0,26,213.36,115.67,1,413,5,6,10,0.6,8,10,0.8,11,0,6,20,0,46,0,6,5,0,2,1,0,0,0.333,6,10,0.6,0.6,310,1.2,2,0.6,1.6,2,0.8,2.2,0,1.2,4,9.2,0,1.2,1,0,0.4,0.2,0,0,0.333,1.2,2,0.6,0.6
0,0,0,0,1,0,0,0,30,210.82,105.23,8,113,55,315,649,0.485,143,226,0.633,350,72,197,774,0,1710,41,168,182,22,36,127,1,8,0.125,314,641,0.49,0.486,65,5.7,11.8,0.485,2.6,4.1,0.633,6.4,1.3,3.6,14.1,31.1,41,3.1,3.3,0.4,0.7,2.3,0,0.1,0.125,5.7,11.7,0.49,0.486
0,0,0,0,0,0,1,0,22,208.28,111.13,0,396,26,13,25,0.52,4,8,0.5,24,3,10,30,0,118,0,7,17,0,6,6,0,2,0,13,23,0.565,0.52,419,0.5,1,0.52,0.2,0.3,0.5,0.9,0.1,0.4,1.2,4.5,0,0.3,0.7,0,0.2,0.2,0,0.1,0,0.5,0.9,0.565,0.52
0,0,0,0,0,0,0,1,22,215.9,117.93,0,432,1,2,3,0.667,1,1,1,1,0,3,5,0,6,0,0,1,0,0,1,0,0,0.25,2,3,0.667,0.667,263,2,3,0.667,1,1,1,1,0,3,5,6,0,0,1,0,0,1,0,0,0.25,2,3,0.667,0.667
0,0,0,0,0,0,0,1,30,200.66,102.06,9,276,40,85,207,0.411,17,21,0.81,53,19,38,227,0,473,3,18,35,11,8,25,40,104,0.385,45,103,0.437,0.507,245,2.1,5.2,0.411,0.4,0.5,0.81,1.3,0.5,1,5.7,11.8,3,0.5,0.9,0.3,0.2,0.6,1,2.6,0.385,1.1,2.6,0.437,0.507
0,0,0,0,0,0,1,0,32,198.12,97.52,8,186,66,178,427,0.417,85,107,0.794,190,72,120,489,0,1237,0,51,139,31,13,56,48,127,0.378,130,300,0.433,0.473,190,2.7,6.5,0.417,1.3,1.6,0.794,2.9,1.1,1.8,7.4,18.7,0,0.8,2.1,0.5,0.2,0.8,0.7,1.9,0.378,2,4.5,0.433,0.473
0,1,0,0,0,0,0,0,22,213.36,120.2,1,164,74,221,526,0.42,124,179,0.693,392,24,260,569,0,1659,60,133,259,18,89,97,3,7,0.429,218,519,0.42,0.423,181,3,7.1,0.42,1.7,2.4,0.693,5.3,0.3,3.5,7.7,22.4,60,1.8,3.5,0.2,1.2,1.3,0,0.1,0.429,2.9,7,0.42,0.423
0,0,0,0,0,1,0,0,24,200.66,97.52,2,319,36,64,143,0.448,13,20,0.65,43,36,89,144,0,490,19,10,33,23,9,32,3,18,0.167,61,125,0.488,0.458,308,1.8,4,0.448,0.4,0.6,0.65,1.2,1,2.5,4,13.6,19,0.3,0.9,0.6,0.3,0.9,0.1,0.5,0.167,1.7,3.5,0.488,0.458
0,1,0,0,0,0,0,0,39,198.12,88.45,17,18,82,679,1527,0.445,266,324,0.821,497,311,171,1640,0,3031,67,71,426,123,39,173,16,55,0.291,663,1472,0.45,0.45,26,8.3,18.6,0.445,3.2,4,0.821,6.1,3.8,2.1,20,37,67,0.9,5.2,1.5,0.5,2.1,0.2,0.7,0.291,8.1,18,0.45,0.45
0,0,0,0,0,1,0,0,31,203.2,108.86,9,195,66,189,452,0.418,53,84,0.631,287,56,196,469,0,1684,14,107,180,30,37,73,38,124,0.306,151,328,0.46,0.46,198,2.9,6.8,0.418,0.8,1.3,0.631,4.3,0.8,3,7.1,25.5,14,1.6,2.7,0.5,0.6,1.1,0.6,1.9,0.306,2.3,5,0.46,0.46
0,1,0,0,0,0,0,0,20,210.82,115.67,0,379,34,22,50,0.44,7,18,0.389,68,5,30,51,0,177,0,25,43,6,13,14,0,0,0.5,22,50,0.44,0.44,407,0.6,1.5,0.44,0.2,0.5,0.389,2,0.1,0.9,1.5,5.2,0,0.7,1.3,0.2,0.4,0.4,0,0,0.444,0.6,1.5,0.44,0.44
0,0,0,0,0,0,0,1,33,208.28,104.33,11,291,41,86,217,0.396,30,41,0.732,209,13,98,202,0,737,16,82,127,17,33,35,0,2,0,86,215,0.4,0.396,268,2.1,5.3,0.396,0.7,1,0.732,5.1,0.3,2.4,4.9,18,16,2,3.1,0.4,0.8,0.9,0,0,0,2.1,5.2,0.4,0.396
0,0,0,0,1,0,0,0,32,190.5,83.91,8,30,74,554,1197,0.463,282,328,0.86,312,493,208,1461,0,2605,73,54,258,90,12,177,71,204,0.348,483,993,0.486,0.492,28,7.5,16.2,0.463,3.8,4.4,0.86,4.2,6.7,2.8,19.7,35.2,73,0.7,3.5,1.2,0.2,2.4,1,2.8,0.348,6.5,13.4,0.486,0.492
0,1,0,0,0,0,0,0,20,208.28,99.34,0,335,28,42,104,0.404,17,20,0.85,62,10,22,108,0,320,1,25,37,9,11,21,7,23,0.304,35,81,0.432,0.438,312,1.5,3.7,0.404,0.6,0.7,0.85,2.2,0.4,0.8,3.9,11.4,1,0.9,1.3,0.3,0.4,0.8,0.3,0.8,0.304,1.3,2.9,0.432,0.438
0,0,0,0,0,0,1,0,21,190.5,88.9,1,368,14,22,57,0.386,10,12,0.833,3,12,20,58,0,155,0,0,3,4,3,10,4,14,0.286,18,43,0.419,0.421,303,1.6,4.1,0.386,0.7,0.9,0.833,0.2,0.9,1.4,4.1,11.1,0,0,0.2,0.3,0.2,0.7,0.3,1,0.286,1.3,3.1,0.419,0.421
0,0,0,0,0,0,0,1,29,208.28,106.59,4,349,45,36,91,0.396,11,21,0.524,73,17,47,87,0,426,12,20,53,11,11,15,4,25,0.16,32,66,0.485,0.418,398,0.8,2,0.396,0.2,0.5,0.524,1.6,0.4,1,1.9,9.5,12,0.4,1.2,0.2,0.2,0.3,0.1,0.6,0.16,0.7,1.5,0.485,0.418
0,0,0,0,0,0,0,1,35,208.28,104.33,13,314,41,71,149,0.477,22,33,0.667,108,30,80,165,0,552,10,25,83,21,21,25,1,7,0.143,70,142,0.493,0.48,309,1.7,3.6,0.477,0.5,0.8,0.667,2.6,0.7,2,4,13.5,10,0.6,2,0.5,0.5,0.6,0,0.2,0.143,1.7,3.5,0.493,0.48
0,1,0,0,0,0,0,0,27,198.12,101.15,4,322,4,0,2,0,0,1,0,6,2,5,0,0,24,0,2,4,2,1,3,0,0,0.2,0,2,0,0,246,0,0.5,0,0,0.3,0,1.5,0.5,1.3,0,6,0,0.5,1,0.5,0.3,0.8,0,0,0,0,0.5,0,0
0,1,0,0,0,0,0,0,20,187.96,84.37,0,300,36,73,199,0.367,36,46,0.783,52,108,43,189,0,560,4,17,35,31,1,53,7,27,0.259,66,172,0.384,0.384,255,2,5.5,0.367,1,1.3,0.783,1.4,3,1.2,5.3,15.6,4,0.5,1,0.9,0,1.5,0.2,0.8,0.259,1.8,4.8,0.384,0.384
0,0,0,1,0,0,0,0,21,193.04,83.46,0,433,13,2,5,0.4,0,0,0.75,8,9,3,4,0,43,0,2,6,2,0,3,0,1,0,2,4,0.5,0.4,437,0.2,0.4,0.4,0,0,0.75,0.6,0.7,0.2,0.3,3.3,0,0.2,0.5,0.2,0,0.2,0,0.1,0,0.2,0.3,0.5,0.4
1,0,0,0,0,0,0,0,22,185.42,88.45,0,272,64,96,212,0.453,23,36,0.639,83,125,93,231,0,964,0,31,52,60,5,51,16,44,0.364,80,168,0.476,0.491,327,1.5,3.3,0.453,0.4,0.6,0.639,1.3,2,1.5,3.6,15.1,0,0.5,0.8,0.9,0.1,0.8,0.3,0.7,0.364,1.3,2.6,0.476,0.491
0,1,0,0,0,0,0,0,22,182.88,83.91,0,352,15,23,56,0.411,8,8,1,10,24,8,69,0,129,0,2,8,4,0,9,15,35,0.429,8,21,0.381,0.545,316,1.5,3.7,0.411,0.5,0.5,1,0.7,1.6,0.5,4.6,8.6,0,0.1,0.5,0.3,0,0.6,1,2.3,0.429,0.5,1.4,0.381,0.545
0,1,0,0,0,0,0,0,26,200.66,97.52,4,391,12,15,31,0.484,4,7,0.571,3,4,4,36,0,70,0,1,2,6,2,8,2,4,0.5,13,27,0.481,0.516,356,1.3,2.6,0.484,0.3,0.6,0.571,0.3,0.3,0.3,3,5.8,0,0.1,0.2,0.5,0.2,0.7,0.2,0.3,0.5,1.1,2.3,0.481,0.516
0,0,0,0,0,1,0,0,25,187.96,77.56,2,305,50,66,191,0.346,18,29,0.621,72,143,42,177,0,600,7,10,62,32,2,40,27,71,0.38,39,120,0.325,0.416,328,1.3,3.8,0.346,0.4,0.6,0.621,1.4,2.9,0.8,3.5,12,7,0.2,1.2,0.6,0,0.8,0.5,1.4,0.38,0.8,2.4,0.325,0.416
0,0,0,0,0,0,1,0,22,203.2,98.88,1,68,49,296,708,0.418,127,150,0.847,286,139,139,806,0,1826,39,40,246,36,16,99,87,256,0.34,209,452,0.462,0.48,54,6,14.4,0.418,2.6,3.1,0.847,5.8,2.8,2.8,16.4,37.3,39,0.8,5,0.7,0.3,2,1.8,5.2,0.34,4.3,9.2,0.462,0.48
0,0,0,0,0,0,1,0,26,210.82,115.67,2,362,31,21,50,0.42,20,33,0.606,98,9,60,62,0,299,6,35,63,10,9,16,0,0,1,21,50,0.42,0.42,392,0.7,1.6,0.42,0.6,1.1,0.606,3.2,0.3,1.9,2,9.6,6,1.1,2,0.3,0.3,0.5,0,0,1,0.7,1.6,0.42,0.42
1,0,0,0,0,0,0,0,39,213.36,99.79,17,244,52,125,284,0.44,65,87,0.747,299,14,98,315,0,865,5,105,194,25,23,41,0,1,0,125,283,0.442,0.44,233,2.4,5.5,0.44,1.3,1.7,0.747,5.8,0.3,1.9,6.1,16.6,5,2,3.7,0.5,0.4,0.8,0,0,0,2.4,5.4,0.442,0.44
0,1,0,0,0,0,0,0,22,193.04,90.72,0,414,12,7,23,0.304,4,7,0.571,12,12,8,18,0,77,0,3,9,8,4,11,0,1,0,7,22,0.318,0.304,413,0.6,1.9,0.304,0.3,0.6,0.571,1,1,0.7,1.5,6.4,0,0.3,0.8,0.7,0.3,0.9,0,0.1,0,0.6,1.8,0.318,0.304
0,0,0,0,1,0,0,0,24,208.28,111.13,3,404,21,12,21,0.571,2,8,0.25,25,7,14,26,0,104,0,8,17,0,5,8,0,0,0.2,12,21,0.571,0.571,422,0.6,1,0.571,0.1,0.4,0.25,1.2,0.3,0.7,1.2,5,0,0.4,0.8,0,0.2,0.4,0,0,0.2,0.6,1,0.571,0.571
0,0,0,0,1,0,0,0,32,208.28,108.86,9,252,44,127,301,0.422,28,37,0.757,221,77,116,285,0,1129,40,59,162,39,30,61,3,9,0.333,124,292,0.425,0.427,220,2.9,6.8,0.422,0.6,0.8,0.757,5,1.8,2.6,6.5,25.7,40,1.3,3.7,0.9,0.7,1.4,0.1,0.2,0.333,2.8,6.6,0.425,0.427
0,1,0,0,0,0,0,0,22,187.96,89.36,2,357,28,26,90,0.289,13,19,0.684,24,36,17,71,0,258,0,4,20,7,0,19,6,35,0.171,20,55,0.364,0.322,375,0.9,3.2,0.289,0.5,0.7,0.684,0.9,1.3,0.6,2.5,9.2,0,0.1,0.7,0.3,0,0.7,0.2,1.3,0.171,0.7,2,0.364,0.322
0,1,0,0,0,0,0,0,23,208.28,115.67,0,377,12,22,51,0.431,8,10,0.8,38,5,16,52,0,161,2,15,23,3,8,2,0,1,0,22,50,0.44,0.431,290,1.8,4.3,0.431,0.7,0.8,0.8,3.2,0.4,1.3,4.3,13.4,2,1.3,1.9,0.3,0.7,0.2,0,0.1,0,1.8,4.2,0.44,0.431
0,0,0,0,0,0,0,1,33,185.42,74.84,9,394,20,9,27,0.333,9,13,0.692,8,9,13,31,0,89,0,4,4,3,1,10,4,15,0.267,5,12,0.417,0.407,406,0.5,1.4,0.333,0.5,0.7,0.692,0.4,0.5,0.7,1.6,4.5,0,0.2,0.2,0.2,0.1,0.5,0.2,0.8,0.267,0.3,0.6,0.417,0.407
0,1,0,0,0,0,0,0,27,205.74,99.79,6,330,10,43,75,0.573,27,33,0.818,55,18,20,113,0,236,10,18,37,10,8,20,0,0,0.393,43,75,0.573,0.573,108,4.3,7.5,0.573,2.7,3.3,0.818,5.5,1.8,2,11.3,23.6,10,1.8,3.7,1,0.8,2,0,0,0.314,4.3,7.5,0.573,0.573
1,0,0,0,0,0,0,0,25,203.2,97.52,2,110,73,277,736,0.376,161,203,0.793,429,180,224,782,0,2238,63,109,320,114,39,127,67,237,0.283,210,499,0.421,0.422,124,3.8,10.1,0.376,2.2,2.8,0.793,5.9,2.5,3.1,10.7,30.7,63,1.5,4.4,1.6,0.5,1.7,0.9,3.2,0.283,2.9,6.8,0.421,0.422
0,0,0,0,0,0,1,0,28,203.2,115.67,6,340,23,36,72,0.5,27,43,0.628,50,12,39,99,0,283,0,24,26,4,5,19,0,1,0,36,71,0.507,0.5,291,1.6,3.1,0.5,1.2,1.9,0.628,2.2,0.5,1.7,4.3,12.3,0,1,1.1,0.2,0.2,0.8,0,0,0,1.6,3.1,0.507,0.5
1,0,0,0,0,0,0,0,26,182.88,74.84,5,5,60,665,1669,0.398,475,585,0.812,269,331,102,1883,1,2622,59,44,225,168,13,237,78,268,0.291,587,1401,0.419,0.422,1,11.1,27.8,0.398,7.9,9.8,0.812,4.5,5.5,1.7,31.4,43.7,59,0.7,3.8,2.8,0.2,4,1.3,4.5,0.291,9.8,23.4,0.419,0.422
0,0,0,0,0,0,1,0,31,182.88,76.2,10,126,76,312,716,0.436,98,132,0.742,275,403,210,731,0,2430,76,57,218,141,10,119,9,33,0.273,303,683,0.444,0.442,135,4.1,9.4,0.436,1.3,1.7,0.742,3.6,5.3,2.8,9.6,32,76,0.8,2.9,1.9,0.1,1.6,0.1,0.4,0.273,4,9,0.444,0.442
0,0,0,1,0,0,0,0,38,190.5,88.45,16,215,72,136,321,0.424,68,83,0.819,164,205,89,399,0,1294,0,12,152,45,16,85,59,142,0.415,77,179,0.43,0.516,251,1.9,4.5,0.424,0.9,1.2,0.819,2.3,2.8,1.2,5.5,18,0,0.2,2.1,0.6,0.2,1.2,0.8,2,0.415,1.1,2.5,0.43,0.516
0,0,1,0,0,0,0,0,33,210.82,108.86,11,427,6,2,9,0.222,3,4,0.75,8,1,4,7,0,24,0,0,8,0,0,0,0,4,0,2,5,0.4,0.222,421,0.3,1.5,0.222,0.5,0.7,0.75,1.3,0.2,0.7,1.2,4,0,0,1.3,0,0,0,0,0.7,0,0.3,0.8,0.4,0.222
0,0,0,1,0,0,0,0,29,205.74,113.4,1,253,63,120,244,0.492,45,85,0.529,251,41,180,285,0,989,27,107,144,22,28,63,0,0,1,120,244,0.492,0.492,284,1.9,3.9,0.492,0.7,1.3,0.529,4,0.7,2.9,4.5,15.7,27,1.7,2.3,0.3,0.4,1,0,0,1,1.9,3.9,0.492,0.492
0,1,0,0,0,0,0,0,22,198.12,99.79,1,115,67,294,609,0.483,91,115,0.791,224,91,96,767,0,1417,8,77,147,42,7,57,88,198,0.444,206,411,0.501,0.555,106,4.4,9.1,0.483,1.4,1.7,0.791,3.3,1.4,1.4,11.4,21.1,8,1.1,2.2,0.6,0.1,0.9,1.3,3,0.444,3.1,6.1,0.501,0.555
0,0,0,0,0,0,1,0,31,203.2,99.34,9,201,48,166,396,0.419,40,51,0.784,162,69,106,450,0,1117,25,37,125,18,10,53,78,183,0.426,88,213,0.413,0.518,146,3.5,8.3,0.419,0.8,1.1,0.784,3.4,1.4,2.2,9.4,23.3,25,0.8,2.6,0.4,0.2,1.1,1.6,3.8,0.426,1.8,4.4,0.413,0.518
0,1,0,0,0,0,0,0,26,205.74,122.47,2,374,29,13,39,0.333,28,40,0.7,34,3,16,54,0,152,1,12,22,2,6,10,0,0,0.556,13,39,0.333,0.333,396,0.4,1.3,0.333,1,1.4,0.7,1.2,0.1,0.6,1.9,5.2,1,0.4,0.8,0.1,0.2,0.3,0,0,0.5,0.4,1.3,0.333,0.333
0,0,0,0,0,0,1,0,31,198.12,99.79,9,156,55,238,538,0.442,75,87,0.862,290,140,145,589,0,1825,19,54,236,42,14,106,38,81,0.469,200,457,0.438,0.478,122,4.3,9.8,0.442,1.4,1.6,0.862,5.3,2.5,2.6,10.7,33.2,19,1,4.3,0.8,0.3,1.9,0.7,1.5,0.469,3.6,8.3,0.438,0.478
0,0,0,0,1,0,0,0,35,182.88,79.38,12,141,14,47,126,0.373,12,19,0.632,27,77,25,134,0,325,14,1,26,17,2,38,28,75,0.373,19,51,0.373,0.484,136,3.4,9,0.373,0.9,1.4,0.632,1.9,5.5,1.8,9.6,23.2,14,0.1,1.9,1.2,0.1,2.7,2,5.4,0.373,1.4,3.6,0.373,0.484
0,0,0,0,0,0,0,1,33,198.12,99.79,11,332,60,42,112,0.375,2,4,0.5,108,29,46,105,0,630,2,27,81,20,8,14,19,54,0.352,23,58,0.397,0.46,403,0.7,1.9,0.375,0,0.1,0.5,1.8,0.5,0.8,1.8,10.5,2,0.5,1.4,0.3,0.1,0.2,0.3,0.9,0.352,0.4,1,0.397,0.46
0,0,0,1,0,0,0,0,38,200.66,86.18,15,293,47,67,148,0.453,42,58,0.724,49,14,88,198,0,724,17,9,40,29,4,21,22,57,0.386,45,91,0.495,0.527,298,1.4,3.1,0.453,0.9,1.2,0.724,1,0.3,1.9,4.2,15.4,17,0.2,0.9,0.6,0.1,0.4,0.5,1.2,0.386,1,1.9,0.495,0.527
0,1,0,0,0,0,0,0,39,198.12,88.45,17,18,82,679,1527,0.445,266,324,0.821,497,311,171,1640,0,3031,67,71,426,123,39,173,16,55,0.291,663,1472,0.45,0.45,26,8.3,18.6,0.445,3.2,4,0.821,6.1,3.8,2.1,20,37,67,0.9,5.2,1.5,0.5,2.1,0.2,0.7,0.291,8.1,18,0.45,0.45
0,1,0,0,0,0,0,0,29,193.04,86.18,4,323,59,45,113,0.398,29,41,0.707,68,114,51,125,0,520,2,23,45,25,2,47,6,11,0.545,39,102,0.382,0.425,386,0.8,1.9,0.398,0.5,0.7,0.707,1.2,1.9,0.9,2.1,8.8,2,0.4,0.8,0.4,0,0.8,0.1,0.2,0.545,0.7,1.7,0.382,0.425
0,0,0,0,0,1,0,0,20,205.74,117.93,0,329,41,48,107,0.449,18,27,0.667,69,13,29,114,0,238,0,31,38,7,4,15,0,0,0.5,48,107,0.449,0.449,363,1.2,2.6,0.449,0.4,0.7,0.667,1.7,0.3,0.7,2.8,5.8,0,0.8,0.9,0.2,0.1,0.4,0,0,0.273,1.2,2.6,0.449,0.449
1,0,0,0,0,0,0,0,32,208.28,113.4,9,304,61,81,194,0.418,21,29,0.724,124,25,114,183,0,728,2,32,92,12,21,20,0,0,0.345,81,194,0.418,0.418,357,1.3,3.2,0.418,0.3,0.5,0.724,2,0.4,1.9,3,11.9,2,0.5,1.5,0.2,0.3,0.3,0,0,0.273,1.3,3.2,0.418,0.418
1,0,0,0,0,0,0,0,28,187.96,95.25,4,296,33,73,185,0.395,30,35,0.857,49,71,58,193,0,542,0,11,38,17,7,43,17,50,0.34,56,135,0.415,0.441,240,2.2,5.6,0.395,0.9,1.1,0.857,1.5,2.2,1.8,5.8,16.4,0,0.3,1.2,0.5,0.2,1.3,0.5,1.5,0.34,1.7,4.1,0.415,0.441
0,0,1,0,0,0,0,0,34,208.28,99.79,10,232,54,131,293,0.447,82,117,0.701,206,25,109,345,0,809,1,71,135,17,11,58,1,8,0.125,130,285,0.456,0.449,224,2.4,5.4,0.447,1.5,2.2,0.701,3.8,0.5,2,6.4,15,1,1.3,2.5,0.3,0.2,1.1,0,0.1,0.125,2.4,5.3,0.456,0.449
0,1,0,0,0,0,0,0,31,203.2,108.86,9,195,66,189,452,0.418,53,84,0.631,287,56,196,469,0,1684,14,107,180,30,37,73,38,124,0.306,151,328,0.46,0.46,198,2.9,6.8,0.418,0.8,1.3,0.631,4.3,0.8,3,7.1,25.5,14,1.6,2.7,0.5,0.6,1.1,0.6,1.9,0.306,2.3,5,0.46,0.46
0,0,0,0,0,0,1,0,24,195.58,97.52,1,365,12,14,38,0.368,13,15,0.867,4,3,9,43,0,98,0,1,3,2,0,7,2,7,0.286,12,31,0.387,0.395,317,1.2,3.2,0.368,1.1,1.3,0.867,0.3,0.3,0.8,3.6,8.2,0,0.1,0.3,0.2,0,0.6,0.2,0.6,0.286,1,2.6,0.387,0.395
0,0,0,0,0,0,0,1,26,210.82,102.06,3,351,30,29,61,0.475,20,26,0.769,53,11,35,79,0,217,0,22,31,7,9,14,1,2,0.5,28,59,0.475,0.484,374,1,2,0.475,0.7,0.9,0.769,1.8,0.4,1.2,2.6,7.2,0,0.7,1,0.2,0.3,0.5,0,0.1,0.5,0.9,2,0.475,0.484
1,0,0,0,0,0,0,0,38,203.2,102.06,16,280,57,97,263,0.369,21,28,0.75,343,114,175,216,0,1383,36,72,271,49,11,87,1,6,0.167,96,257,0.374,0.371,320,1.7,4.6,0.369,0.4,0.5,0.75,6,2,3.1,3.8,24.3,36,1.3,4.8,0.9,0.2,1.5,0,0.1,0.167,1.7,4.5,0.374,0.371
0,0,0,1,0,0,0,0,37,177.8,79.38,13,305,48,63,150,0.42,30,39,0.769,31,64,26,156,0,430,0,10,21,15,1,29,0,2,0,63,148,0.426,0.42,325,1.3,3.1,0.42,0.6,0.8,0.769,0.6,1.3,0.5,3.3,9,0,0.2,0.4,0.3,0,0.6,0,0,0,1.3,3.1,0.426,0.42
0,1,0,0,0,0,0,0,34,208.28,104.33,11,95,58,331,735,0.45,185,227,0.815,509,98,158,875,0,2080,58,167,342,42,51,119,28,83,0.337,303,652,0.465,0.469,50,5.7,12.7,0.45,3.2,3.9,0.815,8.8,1.7,2.7,15.1,35.9,58,2.9,5.9,0.7,0.9,2.1,0.5,1.4,0.337,5.2,11.2,0.465,0.469
0,0,1,0,0,0,0,0,33,210.82,108.86,11,427,6,2,9,0.222,3,4,0.75,8,1,4,7,0,24,0,0,8,0,0,0,0,4,0,2,5,0.4,0.222,421,0.3,1.5,0.222,0.5,0.7,0.75,1.3,0.2,0.7,1.2,4,0,0,1.3,0,0,0,0,0.7,0,0.3,0.8,0.4,0.222
0,1,0,0,0,0,0,0,32,185.42,83.91,9,255,41,98,208,0.471,57,66,0.864,75,141,77,284,0,802,0,16,59,19,1,51,31,69,0.449,67,139,0.482,0.546,207,2.4,5.1,0.471,1.4,1.6,0.864,1.8,3.4,1.9,6.9,19.6,0,0.4,1.4,0.5,0,1.2,0.8,1.7,0.449,1.6,3.4,0.482,0.546
