"birth_date","injury_date","Player_Name_Cleaned","age_at_injury","height_cm","weight_kg","Team","position","Injury_Method","Injury_Location","Other_Injury","career_before","career_after","career_all","Notes","injury_year","injury_month","injury_day","birth_year","birth_month","birth_day","year_start","year_end","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","Season","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
1943-04-23,1977-01-12,"gail goodrich",33,185.42,77.11,"Jazz","G",NA,"Tendon Issues",NA,11,2,13,"placed on IL with Achilles tendon injury",1977,1,12,1943,4,23,1966,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-04-16,1977-10-18,"kareem abdul-jabbar",30,218.44,102.06,"Lakers","C","Fractures","Hand Issues",NA,7,12,19,"placed on IL with fractured hand",1977,10,18,1947,4,16,1970,1989,18,62,663,1205,0.55,274,350,0.783,801,269,182,1600,1,1978,2265,NA,186,615,103,185,208,NA,NA,NA,NA,NA,NA,NA,5,10.7,19.4,0.55,4.4,5.6,0.783,12.9,4.3,2.9,25.8,36.5,NA,3,9.9,1.7,3,3.4,NA,NA,NA,NA,NA,NA,NA
1946-03-22,1977-11-10,"don chaney",31,195.58,95.25,"Lakers","G","Fractures",NA,NA,8,3,11,"placed on IL with fractured right thumb",1977,11,10,1946,3,22,1969,1980,217,9,13,36,0.361,5,6,0.833,11,17,14,31,0,1978,133,NA,4,7,8,3,11,NA,NA,NA,NA,NA,NA,NA,210,1.4,4,0.361,0.6,0.7,0.833,1.2,1.9,1.6,3.4,14.8,NA,0.4,0.8,0.9,0.3,1.2,NA,NA,NA,NA,NA,NA,NA
1953-10-02,1978-02-10,"tom boswell",24,205.74,99.79,"Celtics","F-C",NA,"Hand Issues",NA,2,6,8,"placed on IL with dislocated pinky finger on right hand",1978,2,10,1953,10,2,1976,1984,177,65,185,357,0.518,93,123,0.756,288,71,204,463,0,1978,1149,NA,117,171,25,14,95,NA,NA,NA,NA,NA,NA,NA,172,2.8,5.5,0.518,1.4,1.9,0.756,4.4,1.1,3.1,7.1,17.7,NA,1.8,2.6,0.4,0.2,1.5,NA,NA,NA,NA,NA,NA,NA
1949-05-09,1978-10-01,"elmore smith",29,213.36,113.4,"Cavaliers","C",NA,"Knee Issues",NA,6,1,7,"placed on IL with exploratory surgery on left knee (date approximate)",1978,10,1,1949,5,9,1972,1979,230,24,69,130,0.531,18,26,0.692,106,13,60,156,0,1979,332,NA,45,61,7,16,42,NA,NA,NA,NA,NA,NA,NA,180,2.9,5.4,0.531,0.8,1.1,0.692,4.4,0.5,2.5,6.5,13.8,NA,1.9,2.5,0.3,0.7,1.8,NA,NA,NA,NA,NA,NA,NA
1955-05-07,1979-01-13,"ben poquette",23,205.74,106.59,"Pistons","F-C","Sprains","Foot Issues",NA,1,8,9,"placed on IL with sprained left foot",1979,1,13,1955,5,7,1978,1987,166,76,198,464,0.427,111,142,0.782,336,57,198,507,0,1979,1337,NA,99,237,38,98,65,NA,NA,NA,NA,NA,NA,NA,170,2.6,6.1,0.427,1.5,1.9,0.782,4.4,0.8,2.6,6.7,17.6,NA,1.3,3.1,0.5,1.3,0.9,NA,NA,NA,NA,NA,NA,NA
1955-01-30,1979-10-11,"mychal thompson",24,208.28,102.51,"Blazers","C-F","Fractures","Leg Issues",NA,0,12,12,"placed on IL with fractured left leg",1979,10,11,1955,1,30,1979,1991,73,73,460,938,0.49,154,269,0.572,604,176,270,1074,0,1979,2144,NA,198,406,67,134,205,NA,NA,NA,NA,NA,NA,NA,71,6.3,12.8,0.49,2.1,3.7,0.572,8.3,2.4,3.7,14.7,29.4,NA,2.7,5.6,0.9,1.8,2.8,NA,NA,NA,NA,NA,NA,NA
1944-11-21,1979-10-11,"earl monroe",34,190.5,83.91,"Knicks","G","Inflammation","Hip Issues",NA,11,1,12,"placed on IL with right hip inflammation",1979,10,11,1944,11,21,1968,1980,110,64,329,699,0.471,129,154,0.838,74,189,123,787,0,1979,1393,24,26,48,48,6,98,NA,NA,NA,NA,NA,NA,NA,88,5.1,10.9,0.471,2,2.4,0.838,1.2,3,1.9,12.3,21.8,24,0.4,0.8,0.8,0.1,1.5,NA,NA,NA,NA,NA,NA,NA
1952-04-13,1979-10-11,"marvin webster",27,215.9,102.06,"Knicks","C","Overuse Injuries","Knee Issues",NA,3,8,11,"placed on IL with right knee tendinitis",1979,10,11,1952,4,13,1976,1987,247,20,38,79,0.481,12,16,0.75,80,9,39,88,0,1980,298,1,28,52,3,11,20,0,0,NA,38,79,0.481,0.481,227,1.9,4,0.481,0.6,0.8,0.75,4,0.5,2,4.4,14.9,1,1.4,2.6,0.2,0.6,1,0,0,NA,1.9,4,0.481,0.481
1956-12-04,1979-11-11,"bernard king",22,200.66,92.99,"Jazz","F","Sprains","Ankle Issues",NA,1,14,15,"placed on IL with sprained left ankle",1979,11,11,1956,12,4,1978,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
