,MLP_Accuracy,MLP_Precision,MLP_Recall,MLP_Kappa
is_Fractures,0.8986666666666666,1.0,0.006535947712418301,0.011677806965070592
is_Sprains,0.6873333333333334,0.41517857142857145,0.21577726218097448,0.10883036994623851
is_Strains,0.7713333333333333,0.28888888888888886,0.040123456790123455,0.018766449250486206
is_Soreness,0.77,0.4755244755244755,0.20118343195266272,0.17177737375806612
is_Inflammation,0.9813333333333333,0.0,0.0,0.0
is_Overuse_Injuries,0.8933333333333333,0.42105263157894735,0.050955414012738856,0.06989001449421406
is_Ligament_Tears,0.9746666666666667,0.0,0.0,0.0
is_Other,0.9866666666666667,0.0,0.0,0.0
