,MLP_Accuracy,MLP_Precision,MLP_Recall,MLP_Kappa
is_Fractures,0.9006666666666666,0.0,0.0,0.0
is_Sprains,0.684,0.41015625,0.24532710280373832,0.11881060500902252
is_Strains,0.7746666666666666,0.4827586206896552,0.04154302670623145,0.042409727757274474
is_Soreness,0.7706666666666667,0.35135135135135137,0.12540192926045016,0.0850382475290713
is_Inflammation,0.9873333333333333,0.0,0.0,0.0
is_Overuse_Injuries,0.888,0.0,0.0,-0.0026418817837474684
is_Ligament_Tears,0.9746666666666667,0.0,0.0,0.0
is_Other,0.9853333333333333,0.0,0.0,0.0
